iter	Passed	Remaining
413	5052	71514414	5059	71324415	5075	71244416	5086	7111
417	5095	7094
418	5106	7081
419	5125	7077
420	5142	7072
421	5155	7061
422	5165	7046
423	5178	7035
424	5191	7023
425	5206	7015
426	5216	6999
427	5231	6991
428	5244	6981
429	5254	6964
430	5270	6957
431	5279	6941
432	5294	6932
433	5302	6915
434	5312	6900
435	5325	6888
436	5331	6869
437	5348	6862
438	5359	6849
439	5368	6832
440	5377	6816
441	5393	6808
442	5407	6798
443	5420	6787
444	5435	6778
445	5440	6757
446	5448	6740
447	5457	6724
448	5468	6710
449	5489	6709
450	5498	6693
451	5511	6682
452	5528	6676
453	5543	6666
454	5561	6661
455	5570	6645
456	5591	6643
457	5609	6638
458	5621	6626
459	5637	6617
460	5651	6608
461	5659	6590
462	5665	6571
463	5674	6555
464	5683	6539
465	5700	6532
466	5707	6513
467	5726	6509
468	5747	6506
469	5759	6494
470	5773	6484
471	5786	6472
472	5800	6462
473	5808	6446
474	5821	6434
475	5826	6414
476	5836	6399
477	5853	6391
478	5871	6386
479	5875	6365
480	5894	6359
481	5901	6342
482	5909	6325
483	5921	6313
484	5932	6299
485	5941	6283
486	5954	6272
487	5959	6252
488	5969	6238
489	5984	6228
490	5997	6216
491	6009	6204
492	6021	6192
493	6034	6180
494	6042	6164
495	6052	6149
496	6059	6133
497	6076	6124
498	6085	6109
499	6097	6097
500	6114	6089
501	6136	6087
502	6148	6075
503	6154	6056
504	6161	6039
505	6174	6028
506	6185	6014
507	6192	5997
508	6200	5981
509	6211	5967
510	6222	5954
511	6234	5942
512	6248	5932
513	6262	5921
514	6276	5911
515	6284	5894
516	6292	5879
517	6300	5862
518	6306	5844
519	6314	5828
520	6323	5814
521	6339	5804
522	6347	5789
523	6358	5775
524	6365	5758
525	6373	5743
526	6382	5728
527	6393	5715
528	6400	5698
529	6407	5682
530	6418	5669
531	6427	5654
532	6435	5638
533	6442	5622
534	6454	5609
535	6462	5594
536	6470	5578
537	6480	5564
538	6490	5550
539	6495	5533
540	6501	5515
541	6514	5504
542	6529	5495
543	6537	5480
544	6545	54645545	6551	54475546	6560	54335547	6571	54205548	6580	5406547	6538	5392
548	6548	5379
549	6556	5364
550	6572	5355
551	6579	5339
552	6584	5322
553	6598	5311
554	6602	5294
555	6621	5287
556	6631	5274
557	6644	5263
558	6658	5252
559	6666	5238
560	6672	5221
561	6682	5208
562	6691	5194
563	6701	5180
564	6707	5164
565	6713	5147
566	6727	5137
567	6733	5121
568	6739	5105
569	6750	5092
570	6761	5079
571	6768	5064
572	6779	5052
573	6792	5041
574	6798	5024
575	6807	5010
576	6815	4996
5579	6882	4983578	6831	4967
5581	6897	49535582	6915	4946
583	6926	4933
584	6934	4919
585	6950	4910
586	6963	4899
587	6978	4889
588	6989	4876
589	6997	4862
590	7007	4849
591	7018	4837
592	7027	4823
593	7036	4809
594	7042	4793
595	7053	4781
596	7063	4768
597	7076	4756
598	7085	4743
599	7099	4732
600	7109	4719
601	7117	4705
602	7125	4691
603	7132	4676
604	7139	4661
605	7148	4647
606	7155	4632
607	7169	4622
608	7180	4609
609	7190	4597
610	7196	4581
611	7201	4565
612	7209	4551
613	7213	4535
614	7221	4520
615	7232	4508
616	7240	4494
617	7253	4483
618	7270	4475
619	7282	4463
620	7292	4450
621	7299	4435
622	7309	4422
623	7315	4407
624	7332	4399
625	7341	4385
626	7346	4370
627	7356	4357
628	7367	4345
629	7373	4330
630	7382	4317
631	7397	4307
632	7414	4298
633	7428	4288
634	7443	4278
635	7462	4271
636	7477	4260
637	7493	4251
638	7526	4251
639	7538	4240
640	7548	4227
641	7571	4221
642	7584	4211
643	7595	4198
644	7603	4184
645	7611	4171
646	7619	4157
647	7630	4144
648	7641	4132
649	7652	4120
650	7659	4106
651	7672	4095
652	7680	4081
653	7689	4068
654	7706	4059
655	7719	4048
656	7727	4034
657	7738	4022
658	7751	4010
659	7759	3997
660	7767	3983
661	7775	3969
662	7782	3955
663	7790	3942
664	7801	3929
665	7806	3914
666	7811	3900
667	7818	3885
668	7824	3871
669	7830	3856
670	7836	3842
671	7842	3827
672	7847	3812
673	7854	3799
674	7859	3783
675	7864	3769
676	7870	3754
677	7878	3741
678	7883	3727
679	7887	3711
680	7894	3697
681	7899	3683
682	7904	3668
683	7910	3654
684	7915	3640
685	7920	3625
686	7927	3611
687	7931	3596
688	7937	3582
689	7943	3568
690	7948	3554
691	7953	3539
692	7958	3525
693	7964	3511
694	7969	3497
695	7974	3483
696	7978	3468
697	7984	3454
698	7991	3441
699	7996	3427
700	8001	3412
701	8006	3398
702	8012	3385
703	8017	3371
704	8021	3356
705	8027	3343
706	8032	3329
707	8037	3314
708	8042	3300
709	8048	3287
710	8053	3273
711	8060	3260
712	8064	3246
713	8069	3232
714	8074	3218
715	8082	3206
716	8089	3192
717	8095	3179
718	8099	3165
719	8104	3151
720	8109	3137
721	8113	3124
722	8118	3110
723	8123	3096
724	8130	3084
725	8136	3070
726	8142	3057
727	8148	3044
728	8154	3031
729	8160	3018
730	8167	3005
731	8172	2992
732	8177	2978
733	8184	2965
734	8189	2952
735	8195	2939
736	8201	2926
737	8206	2913
738	8214	2901
739	8221	2888
740	8228	2876
741	8234	2863
742	8241	2850
743	8247	2837
744	8253	2825
745	8259	2812
746	8266	2799
747	8271	2786
748	8277	2773
749	8281	2760
750	8286	2747
751	8292	2734
752	8299	2722
753	8306	2710
754	8311	2697
755	8319	2685
756	8331	2674
757	8336	2661
758	8341	2648
759	8346	2635
760	8353	2623
761	8359	2610
762	8364	2598
763	8372	2586
764	8377	2573
765	8383	2561
766	8389	2548
767	8399	2537
768	8404	2524
769	8409	2511
770	8416	2499
771	8422	2487
772	8428	2475
773	8433	2462
774	8440	2450
775	8445	2437
776	8450	2425
777	8455	2412
778	8461	2400
779	8466	2387
780	8472	2375
781	8480	2364
782	8486	2352
783	8491	2339
