iter	RMSE
0	20.8554471811	20.5996871622	20.32556008
3	20.13480258
4	19.88684722
5	19.67557108
6	19.4658154
7	19.30280872
8	19.14642578
9	19.03074198
110	18.69268864111	18.57643269112	18.45600279113	18.36125182114	18.24795015	15	18.12792816	16	17.99896117	17	17.9241371818	17.85269791919	17.73751641
20	17.6870153
21	17.59774329
22	17.47134553
23	17.39800104
24	17.31738419
25	17.21656253
26	17.14612965
27	17.0828927
28	17.00917028
29	16.97920786
30	16.90452217
31	16.84617642
32	16.79978195
33	16.75129078
34	16.70059155
35	16.63002316
36	16.56090589
37	16.49197043
38	16.43132403
39	16.39985636
40	16.38340319
41	16.3483369
42	16.31715817
43	16.29635883
44	16.26058689
45	16.2519859
46	16.19642458
47	16.15639381
48	16.11217129
49	16.08851238
50	16.05490411
51	16.02456181
52	15.95578801
53	15.9396822
54	15.93222271
55	15.91940677
56	15.8712807
57	15.84303713
58	15.81063014
59	15.78025615
60	15.72932387
61	15.69793202
62	15.67218947
63	15.64700621
64	15.60794501
65	15.60076222
66	15.58294466
67	15.56560221
68	15.5277017
69	15.50211714
70	15.46027631
71	15.44845197
72	15.4393112
73	15.42234565
74	15.40036412
75	15.36325591
76	15.32427964
77	15.30706851
78	15.2986022
79	15.288657
80	15.27090284
81	15.2326042
82	15.21402571
83	15.18232777
84	15.17499541
85	15.14022259
86	15.12264405
87	15.08830886
88	15.06747306
89	15.04990627
90	15.04086857
91	15.03505811
92	15.01069898
93	15.00478045
94	14.97359341
95	14.96346477
96	14.93849749
97	14.91900271
98	14.8938649
99	14.88217263
100	14.86211145
101	14.8361223
102	14.82973884
103	14.81868985
104	14.80208192
105	14.7739839
106	14.75654399
107	14.73615799
108	14.72493609
109	14.70955545
110	14.70693217
111	14.69179676
112	14.68117554
113	14.67442418
114	14.6622856
115	14.64873287
116	14.64106376
117	14.63266646
118	14.62022932
119	14.60796043
120	14.59147728
121	14.57580032
122	14.56876539
123	14.55378713
124	14.54921816
125	14.5416917
126	14.52617986
127	14.52077585
128	14.5015171
129	14.47946165
130	14.47166442
131	14.45796164
132	14.44933507
133	14.43335305
134	14.41461621
135	14.3917678
136	14.37351279
137	14.36296173
138	14.35277889
139	14.32789498
140	14.31901495
141	14.30597199
142	14.299105
143	14.29421593
144	14.28234499
145	14.27377816
146	14.26120092
147	14.24936567
148	14.2365216
149	14.23117528
150	14.21683367
151	14.20893753
152	14.18791297
153	14.1757096
154	14.15918446
155	14.14825537
156	14.13562769
157	14.12803493
158	14.12098677
159	14.11443612
160	14.1085293
161	14.10201538
162	14.09204522
163	14.08326326
164	14.07376162
165	14.0672126
166	14.05867382
167	14.04336676
168	14.03459674
169	14.02627054
170	14.01916784
171	14.01385645
172	14.00423079
173	13.98562038
174	13.97815923
175	13.96536803
176	13.96120309
177	13.94666009
178	13.93178583
179	13.92218003
180	13.91662111
181	13.91056232
182	13.8937743
183	13.88743197
184	13.85851737
185	13.832933
186	13.82680933
187	13.81926992
188	13.81359805
189	13.79132142
190	13.78629885
191	13.77310414
192	13.76761085
193	13.76267857
194	13.75603769
195	13.7512886
196	13.74663481
197	13.73523778
198	13.71322629
199	13.70010628
200	13.69069453
201	13.6865121
202	13.67659448
203	13.66473159
204	13.64829423
205	13.64289304
206	13.63888655
207	13.62964256
208	13.61957358
209	13.61534012
210	13.60687997
211	13.60304033
212	13.59315464
213	13.58364522
214	13.58060707
215	13.57416385
216	13.57145022
217	13.56385643
218	13.54663591
219	13.53104328
220	13.52718022
221	13.52176232
222	13.50715892
223	13.50457298
224	13.48418522
225	13.480299
226	13.46690959
227	13.46101402
228	13.45137706
229	13.43754409
230	13.42140702
231	13.41923793
232	13.41429036
233	13.41117773
234	13.39318441
235	13.38350685
236	13.38031669
237	13.37568292
238	13.37221289
239	13.36659316
240	13.36424444
241	13.35160659
242	13.34263529
243	13.34035239
244	13.32265527
245	13.31092413
246	13.30721318
247	13.29966632
248	13.29692307
249	13.28762007
250	13.28321069
251	13.27518617
252	13.26978286
253	13.26756913
254	13.26422812
255	13.25632891
256	13.24697675
257	13.244405
258	13.23280776
259	13.22331443
260	13.20641848
261	13.20237259
262	13.20012581
263	13.19264558
264	13.18554531
265	13.18184345
266	13.18004516
267	13.17281398
268	13.16511673
269	13.16168188
270	13.15989097
271	13.14488155
272	13.14202883
273	13.13972928
274	13.13297212
275	13.12002654
276	13.11284706
277	13.10960406
278	13.10550119
279	13.10347047
280	13.09425902
281	13.08472683
282	13.07076621
283	13.06913787
284	13.06641492
285	13.05487805
286	13.04068126
287	13.03718293
288	13.02847093
289	13.02202334
290	13.01884925
291	13.01680609
292	13.0086665
293	13.00678851
294	13.00286783
295	12.9941742
296	12.97976626
297	12.97780323
298	12.97004289
299	12.96735283
300	12.96267343
301	12.95296431
302	12.94340052
303	12.93665625
304	12.93487163
305	12.92973722
306	12.92723595
307	12.92105406
308	12.91847434
309	12.91731557
310	12.90443758
311	12.8971974
312	12.89390443
313	12.88436807
314	12.87264112
315	12.87140491
316	12.8659284
317	12.86295425
318	12.86048055
319	12.8547324
320	12.85338233
321	12.84498398
322	12.84231683
323	12.83469318
324	12.82850728
325	12.82299972
326	12.81623341
327	12.81500453
328	12.80956367
329	12.80729074
330	12.80623363
331	12.79467286
332	12.78955411
333	12.78391703
334	12.78113736
335	12.77986807
336	12.77695044
337	12.76828503
338	12.75765864
339	12.74637832
340	12.74377203
341	12.74107359342	12.76720831
343	12.76306666
344	12.75823811
345	12.75481498
346	12.74213244
347	12.74059656
348	12.73453462
349	12.72679392
350	12.72459655
351	12.71959642
352	12.71694861
353	12.71533713
354	12.7100587
355	12.70894508
356	12.70492924
357	12.69884858
358	12.69644912
359	12.68778881
360	12.68612589
361	12.67755854
362	12.6763545
363	12.67277209
364	12.67365	12.28543369
366	12.28308182
367	12.2740877
368	12.27293968
369	12.26469119
370	12.26370762
371	12.25245672
372	12.25037512
373	12.24532067
374	12.23719287
375	12.23124196
376	12.376	12.60377	12.377	12.5378	12.2378	12.5379	12.2379	12.59167471
380	12.5381	12.2381	12.5382	12.2382	12.5383	12.20263591
384	12.1931014
385	12.19115116
386	12.18386	12387	12.184387	12.56014891
388	12389	12.178389	12.55494172
390	12.55398141
391	12.55240261
392	12393	12.156393	12394	12.152394	12.54218234
395	12.53263357
396	12.52695069
397	12.52586964
398	12.51711787
399	12.51577284
400	12.51397086
401	12.51171248
402	12.51059421
403	12404	12.108404	12.50373822
405	12.49829341
406	12.49719034
407	12.48985463
408	12409	12.093409	12410	12.091410	12411	12.083411	12412	12.078412	12.46533291
413	12.46451762
414	12.45537982
415	12416	12.061416	12417	12.060417	12418	12.053418	12419	12.04522541
420	12.03320881
421	12.02960283
422	12.02868149
423	12.02467025
424	12.02312385
425	12.01573613
426	12.00862017
427	12.00688706
428	12.00616573
429	12.004667
430	11.99962299
431	11.99663115
432	11.98902769
433	11.98430724
434	11.97753366
435	11.97452667
436	11.97371789
437	11.97193421
438	11.96203084
439	11.95716632
440	11.9556009
441	11.95136741
442	11.9506813
443	11.94887026
444	11.94406118
445	11.93613345
446	11.93440965
447	11.93295193
448	11.92768329
449	11.91965563
450	11.91704177
451	11.91491014
452	11.91306193
453	11.91239205
454	11.90428768
455	11.89721943
456	11.89362644
457	11.89045007
458	11.88718655
459	11.88514897
460	11.88449678
461	11.88308769
462	11.87995671
463	11.8727245
464	11.86826192
465	11.86366777
466	11.86303159
467	11.86160907
468	11.85994198
469	11.85826407
470	11.85453376
471	11.8532855
472	11.84988692
473	11.84549435
474	11.83652798
475	11.83582433
476	11.82226329
477	11.81952398
478	11.81089025
479	11.80911518
480	11.80561794
481	11.80431769
482	11.80363306
483	11.79462046
484	11.78980585
485	11.78345489
486	11.77638158
487	11.77451105
488	11.76554783
489	11.76255557
490	11.75514816
491	11.74911104
492	11.73896638
493	11.73711872
494	11.73560056
495	11.73430643
496	11.73371402
497	11.73243256
498	11.72827478
